Eesnimi;Perenimi;Sünniaeg;Sugu;Isikukood;Kasutajanimi;Epost
Jan;Kool;21.10.1996;jan.kool;jan.kool@asutus.com
Kairit;Järvesaar;22.06.1992;kairit.jarvesaar;kairit.jarvesaar@asutus.com
Marili;Kink;29.01.1995;marili.kink;marili.kink@asutus.com
Meribel;Drozdov;24.07.1992;meribel.drozdov;meribel.drozdov@asutus.com
Ian;Leppik;16.01.1993;ian.leppik;ian.leppik@asutus.com
Jüri;Tamberg;25.09.1999;juri.tamberg;juri.tamberg@asutus.com
Markkus;Vain;12.07.1994;markkus.vain;markkus.vain@asutus.com
Kätlin;Stepanov;11.10.1998;katlin.stepanov;katlin.stepanov@asutus.com
Tarvi;Trei;01.11.1991;tarvi.trei;tarvi.trei@asutus.com
Aivar;Merisaar;22.09.1997;aivar.merisaar;aivar.merisaar@asutus.com
Kaspar;Medvedev;23.09.1996;kaspar.medvedev;kaspar.medvedev@asutus.com
Matthias;Herodes;23.01.1991;matthias.herodes;matthias.herodes@asutus.com
Anastassia;Tsvetkov;04.01.1999;anastassia.tsvetkov;anastassia.tsvetkov@asutus.com
Veiko;Jakobson;12.06.1994;veiko.jakobson;veiko.jakobson@asutus.com
Maria;Toomsalu;09.12.1998;maria.toomsalu;maria.toomsalu@asutus.com
Teili;Ploom;07.08.1992;teili.ploom;teili.ploom@asutus.com
Lija;Tammet;13.10.1996;lija.tammet;lija.tammet@asutus.com
Aire;Kroon;07.04.1991;aire.kroon;aire.kroon@asutus.com
Siim;Paju;13.04.1997;siim.paju;siim.paju@asutus.com
Kirsika;Tamm;18.04.1997;kirsika.tamm;kirsika.tamm@asutus.com
Merily;Mürk;28.08.1992;merily.murk;merily.murk@asutus.com
Taisi;Kirss;13.09.1999;taisi.kirss;taisi.kirss@asutus.com
Marti;Mann;19.07.1991;marti.mann;marti.mann@asutus.com
Ervin;Kalda;18.07.1990;ervin.kalda;ervin.kalda@asutus.com
Helis;Pihlak;03.06.1994;helis.pihlak;helis.pihlak@asutus.com
Reimo;Silm;23.08.1994;reimo.silm;reimo.silm@asutus.com
Vanessa;Sorokin;13.01.1990;vanessa.sorokin;vanessa.sorokin@asutus.com
Keily;Kalinin;26.03.1994;keily.kalinin;keily.kalinin@asutus.com
Emilie;Lokk;26.09.1994;emilie.lokk;emilie.lokk@asutus.com
Elar;Baskin;02.09.1992;elar.baskin;elar.baskin@asutus.com
Alar;Kodres;08.03.1997;alar.kodres;alar.kodres@asutus.com
